WBS Code,WBS,Cost Element Lev 3,Planned Cost (P0),Planned Cost (P1),Actual Cost
CC2134-B-M0ZZ01-IT,MACCHINA DA TERZI - INFRASTRUTTURA IT,Other activities,,,50689 €
CC2134-B-M0ZZ01-IT,MACCHINA DA TERZI - INFRASTRUTTURA IT,TP Materials,196718 €,196718 €,58746 €
CC2134-I-T0ZZ01-IT,PACKAGING AND TRANSPORT,Logistic costs,22000 €,22000 €,13640 €
CC2134-I-T0ZZ01-IT,PACKAGING AND TRANSPORT,Other costs,7090 €,7090 €,
CC2134-L-J0ZZ01-IT,PROJECT MANAGEMENT,Expenses,7125 €,7125 €,1079 €
CC2134-L-J0ZZ01-IT,PROJECT MANAGEMENT,Field engineering,,,295 €
CC2134-L-J0ZZ01-IT,PROJECT MANAGEMENT,Other activities,,,3068 €
CC2134-L-J0ZZ01-IT,PROJECT MANAGEMENT,Other costs,50000 €,50000 €,
CC2134-L-J0ZZ01-IT,PROJECT MANAGEMENT,Project management,32819 €,32819 €,38099 €
CC2134-P-E0CZ01-IT,CUSTOMER NEW REQUESTS & DELAYS EX. COST,Field engineering,,,3596 €
CC2134-P-E0CZ01-IT,CUSTOMER NEW REQUESTS & DELAYS EX. COST,Other activities,,,425 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",Expenses,176400 €,40000 €,34025 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",Field engineering,209916 €,252170 €,111391 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",Hardware design,,,294 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",Manufacturing,,,0 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",Other activities,,,4768 €
CC2134-P-E0ZZ10-IT,"INSTAL., START-UP",TP Materials,,,1326 €
CC2134-P-E0ZZ12-IT,COMPLETIONS AND INTERNAL EXTRA COST,Expenses,,,6533 €
CC2134-P-E0ZZ12-IT,COMPLETIONS AND INTERNAL EXTRA COST,Field engineering,,,78595 €
CC2134-P-E0ZZ12-IT,COMPLETIONS AND INTERNAL EXTRA COST,Other activities,,,7412 €
CC2134-P-E0ZZ12-IT,COMPLETIONS AND INTERNAL EXTRA COST,TP Materials,,,2300 €
CC2134-P-E0ZZ12-PL,COMPLETAMENTI ED EXTRACOSTI INTERNI,Expenses,,,4075 €
CC2134-P-E0ZZ12-PL,COMPLETAMENTI ED EXTRACOSTI INTERNI,Field engineering,,,2980 €
CC2134-P-E0ZZ12-PL,COMPLETAMENTI ED EXTRACOSTI INTERNI,Other activities,,,693 €
CC2134-S-XPRV01-IT,Commissions,Commission,,9089 €,
CC2134-T-WWZZ01-IT,WARRANTY WW STD,TP Materials,45917 €,,
CC2134-X-WCZZ01-IT,Extra Costi Garanzia Commerciale,Field engineering,,,3001 €
CC2134-X-WCZZ01-IT,Extra Costi Garanzia Commerciale,TP Materials,,1582 €,1571 €
CC2134-Z-AGBZ03-IT,3-4-5 yrs Extended warranty for battery,Other activities,9000 €,9000 €,
CC2134-Z-AGZZ02-IT,ESTENSIONE GARANZIA 2°ANNO,Other activities,22440 €,22440 €,
CC2134-Z-AGZZ03-IT,ESTENSIONE GARANZIA 3°ANNO,Other activities,22440 €,22440 €,
CC2134-Z-AGZZ04-IT,ESTENSIONE GARANZIA 4°ANNO,Other activities,22440 €,22440 €,
CC2134-Z-AGZZ05-IT,ESTENSIONE GARANZIA 5°ANNO,Other activities,22440 €,22440 €,
CC2134-Z-AMZZ02-IT,MANUTENZIONE PROGRAMMATA  2°ANNO,Other activities,19680 €,19680 €,
CC2134-Z-AMZZ03-IT,MANUTENZIONE PROGRAMMATA  3°ANNO,Other activities,19680 €,19680 €,
CC2134-Z-AMZZ04-IT,MANUTENZIONE PROGRAMMATA  4°ANNO,Other activities,19680 €,19680 €,
CC2134-Z-AMZZ05-IT,MANUTENZIONE PROGRAMMATA  5°ANNO,Other activities,19680 €,19680 €,
CC2134-Z-AMZZ06-IT,MANUTENZIONE PROGRAMMATA  6°ANNO,Other activities,19680 €,19680 €,
CC2134-Z-H24Z01-IT,ASSISTENZA TELEFONICA H24 1°ANNO,Other activities,12521 €,12521 €,
CC2134-Z-H24Z02-IT,ASSISTENZA TELEFONICA H24 2°ANNO,Other activities,11020 €,11020 €,
CC2134-Z-H24Z03-IT,ASSISTENZA TELEFONICA H24 3°ANNO,Other activities,11020 €,11020 €,
CC2134-Z-H24Z04-IT,ASSISTENZA TELEFONICA H24 4°ANNO,Other activities,11020 €,11020 €,
CC2134-Z-H24Z05-IT,ASSISTENZA TELEFONICA H24 5°ANNO,Other activities,11020 €,11020 €,
